TopDepth,MidDepth,BotDepth,Oxygen18,Deuterium,TopTime,MidTime,BotTime
0.34,0.478257825,0.61651565,-29.3,-230.1,NaN,NaN,NaN
0.61651565,0.755797316,0.895078983,-23.9,-196.4,NaN,NaN,NaN
0.895078983,1.040403712,1.185728442,-30.6,-240.4,NaN,NaN,NaN
1.185728442,1.312695653,1.439662864,-31.9,-250,NaN,2021.99549799539,2021.9504741617
1.439662864,1.556696556,1.673730248,-30.7,-239.3,2021.9504741617,2021.90897285248,2021.86747154326
1.673730248,1.792016865,1.910303483,-30.4,-238.6,2021.86747154326,2021.8255259344,2021.78358032518
1.910303483,2.031992457,2.153681431,-26.7,-207.5,2021.78358032518,2021.74042820674,2021.6972760883
2.153681431,2.277851821,2.402022212,-27.9,-218,2021.6972760883,2021.65324403511,2021.60921198156
2.402022212,2.522865685,2.643709159,-22.7,-175.5,2021.60921198156,2021.56635968617,2021.52350739043
2.643709159,2.770929646,2.898150134,-23.5,-182.9,2021.52350739043,2021.47839374255,2021.43328009433
2.898150134,3.036924614,3.175699094,-21.8,-170,2021.43328009433,2021.38406928582,2021.33485847731
3.175699094,3.283432224,3.391165354,-22.6,-178.2,2021.33485847731,2021.29665523972,2021.25845200213
3.391165354,3.503381566,3.615597778,-24.9,-198.2,2021.25845200213,2021.21865901915,2021.17886603617
3.615597778,3.70830974,3.801021702,-27.5,-215.3,2021.17886603617,2021.1459894539,2021.11311287163
3.801021702,3.909236798,4.017451894,-30.1,-231.9,2021.11311287163,2021.07473872411,2021.0363645766
4.017451894,4.123763067,4.23007424,-31.8,-247.3,2021.0363645766,2020.99895759917,2020.96950852078
4.23007424,4.324691337,4.419308433,-28.3,-223.3,2020.96950852078,2020.94329879861,2020.91708907673
4.419308433,4.514421296,4.60953416,-29.1,-227.9,2020.91708907673,2020.89074202327,2020.86439496953
4.60953416,4.69972065,4.78990714,-28.2,-223.7,2020.86439496953,2020.83941256233,2020.81443015512
4.78990714,4.88175642,4.973605699,-23.2,-179.4,2020.81443015512,2020.78898714127,2020.7635441277
4.973605699,5.059488823,5.145371947,-22.7,-174.7,2020.7635441277,2020.73975378864,2020.71596344958
5.145371947,5.234227653,5.323083359,-27.9,-215.3,2020.71596344958,2020.69134968061,2020.66673591163
5.323083359,5.408568063,5.494052767,-24.8,-192.2,2020.66673591163,2020.64305593823,2020.61937596482
5.494052767,5.579838291,5.665623815,-21.2,-162.3,2020.61937596482,2020.59561266177,2020.57184935873
5.665623815,5.717811907,5.77,-25.3,-194.9,2020.57184935873,2020.55739282355,2020.54293628809
5.77,5.903668734,6.037337469,-25.4,-196.8,2020.54293628809,2020.50590893795,2020.46888158753
6.037337469,6.160092853,6.282848237,-28.2,-219,2020.46888158753,2020.43487732604,2020.40087306454
6.282848237,6.39706456,6.511280883,-22.7,-176.5,2020.40087306454,2020.36923419391,2020.33759532327
6.511280883,6.621836753,6.732392623,-26.5,-206.9,2020.33759532327,2020.30697042853,2020.27634553379
6.732392623,6.828774702,6.925156781,-27.6,-216.4,2020.27634553379,2020.24964689695,2020.22294826011
6.925156781,7.012485665,7.09981455,-25.4,-199,2020.22294826011,2020.19875743352,2020.17456660665
7.09981455,7.196248032,7.292681515,-30.7,-240,2020.17456660665,2020.14785373075,2020.12114085457
7.292681515,7.379534844,7.466388173,-28.8,-223.3,2020.12114085457,2020.09708176066,2020.07302266676
7.466388173,7.558220436,7.650052698,-27.4,-211.6,2020.07302266676,2020.04758436676,2020.02214606704
7.650052698,7.738382067,7.826711437,-30.6,-237.5,2020.02214606704,2019.99789923133,2019.97576154461
7.826711437,7.921932124,8.017152811,-31.4,-243.1,2019.97576154461,2019.95189671078,2019.92803187694
8.017152811,8.104249449,8.191346087,-27.3,-211.8,2019.92803187694,2019.90620314561,2019.88437441429
8.191346087,8.273058369,8.354770651,-27.4,-211.3,2019.88437441429,2019.86389514561,2019.84341587694
8.354770651,8.457159784,8.559548918,-25.5,-195,2019.84341587694,2019.8177544401,2019.79209300301
8.559548918,8.652022901,8.744496884,-22.7,-172.6,2019.79209300301,2019.76891656617,2019.74574012932
8.744496884,8.83272608,8.920955277,-29.6,-228.2,2019.74574012932,2019.72362754887,2019.70151496817
8.920955277,9.012362103,9.10376893,-29,-223.9,2019.70151496817,2019.67860598922,2019.65569701003
9.10376893,9.192895615,9.282022299,-23.4,-179.8,2019.65569701003,2019.63335949499,2019.6110219802
