Year (CE),Depth Jan. 1 (m)
2013,2.73301
2012,6.818562
2011,10.692792
2010,13.827397
2009,16.888
2008,19.138216
2007,21.730188
2006,24.54682
2005,27.153014
2004,29.732285
2003,32.505981
2002,35.493115
2001,37.437234
2000,39.796993
1999,41.593227
1998,44.252976
1997,45.928659
1996,47.052369
1995,48.742942
1994,50.753911
1993,53.120888
1992,54.483847
1991,55.824073
1990,57.240315
1989,59.132689
1988,61.222224
1987,62.526483
1986,64.160771
1985,65.685599
1984,66.781988
1983,67.949216
1982,69.283492
1981,70.544739
1980,72.248989
1979,73.767666
1978,74.741771
1977,76.079366
1976,77.367005
1975,78.381782
1974,79.387493
1973,80.223716
1972,80.958208
1971,81.858945
1970,82.931545
1969,84.126036
1968,84.833392
1967,85.991424
1966,87.074458
1965,88.164356
1964,88.807284
1963,89.792791
1962,90.61342
1961,91.754607
1960,92.741926
1959,93.486059
1958,94.344717
1957,95.091707
1956,95.528755
1955,96.191961
1954,96.939644
1953,97.579526
1952,98.360016
1951,99.093176
1950,99.53967
1949,100.065385
1948,100.571249
1947,101.214224
1946,101.74511
1945,102.606305
1944,103.369882
1943,104.11724
1942,104.784001
1941,105.373828
1940,106.040589
1939,106.751998
1938,107.626109
1937,108.145106
1936,108.584245
1935,109.159405
1934,109.8164
1933,110.099032
1932,110.53599
1931,111.176861
1930,111.774037
1929,112.269256
1928,112.835061
1927,113.215998
1926,113.696651
1925,114.313122
1924,114.830913
1923,115.386221
1922,115.857083
1921,116.256963
1920,116.609703
1919,117.168851
1918,117.585691
1917,118.025562
1916,118.392723
1915,118.789068
1914,119.202728
1913,119.566248
1912,120.058401
1911,120.416819
1910,120.727494
1909,120.991097
1908,121.296102
1907,121.584411
1906,121.806336
1905,122.110888
1904,122.612295
1903,122.934054
1902,123.174661
1901,123.48009
1900,123.809593
1899,124.176755
1898,124.494975
1897,124.901664
1896,125.137023
1895,125.419194
1894,125.746087
1893,125.94665
1892,126.271397
1891,126.510733
1890,126.763514
1889,127.219622
1888,127.519693
