sample_name,Date_Melted,Date_Analyzed,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt
11,7-14-2022,04-07-2023,2.47354021339187,2.5663633797992,2.65918654620653,2019.05535897572,2019.0368380103,2019.01823855396,5.7726,0.58262,7.56247,71.936732,22508.27106,11.2741,0.955209999999999,1.82586,1.53945,80.27561,1069.26994848485,2327.42772424242,265.040609090909,978.559381818182,287.242163636364,483.328203030303,183.041015151515,35.7650848484849,146.073236363636,31.5273606060606,67.7374484848485,9.40075454545455,56.4555939393939,9.10218787878788,2.16997,2.52115,1.4998,19.73999,4213.43774,0.554659999999999,5294.09961,4617.18217,19.04985804,10006.86034,84.87347,7.29885,18.53389,218.55335,3413.27767,5.70462,24.45134,43.44441,16005.54766,3.76956,4.48478,13.23912,14.5002,15.04848,24.12089,,,68.75637,805.29872
12,7-14-2022,04-07-2023,2.65918654620653,2.75243230290749,2.84567805960844,2019.01823855396,2018.99947539328,2018.98063302537,6.49766,0.682630000000001,10.96412,28.109347,2872.03996,31.85272,0.80945,0.92901,1.90593,75.44972,1264.25102424242,2656.8989030303,325.370081818182,1176.66872424242,308.041348484848,70.5390121212121,267.564521212121,40.9646909090909,195.62836969697,39.6045666666667,80.2594575757576,13.9237575757576,82.4536,10.2854727272727,2.84314,2.66103,1.39317,9.06207,5542.06194,0.482939999999999,6631.20446,4079.47027,8.99632418,12563.93923,132.0294,8.74327,82.14377,96.70921,4832.725,5.25897,15.43224,89.81045,2948.6482,4.01284,5.10996,10.01695,4.94367,13.01263,26.8701,,,92.35647,659.48308
13,7-14-2022,04-07-2023,2.84567805960844,2.93426011643878,3.02284217326913,2018.98063302537,2018.96265969724,2018.94461488687,4.84263,0.26261,8.48335,22.008427,2101.45311,8.23257,0.53749,1.10829,0.87405,44.16675,1631.17961515152,3450.70318484848,419.059709090909,1393.31202121212,276.484457575758,66.1055151515152,238.050981818182,33.4799939393939,148.191521212121,30.4710636363636,67.740003030303,9.40075454545455,58.4863696969697,7.82788181818182,4.02416,2.40477,1.35639,7.84944,38494.48397,0.88536,4323.40582,3209.6498,7.63994231,8163.38486,62.10262,3.58426,13.36921,67.3576,1413.21315,2.24409,34.24963,101.33667,9301.00332,3.30815,8.47791,9.74843,9.94609,10.99413,27.74163,,,127.71115,1058.53732
14,7-14-2022,04-07-2023,3.02284217326913,3.09652491655012,3.17020765983112,2018.94461488687,2018.92955071658,2018.91443708811,1555.3849,0.58262,201.18874,185.965591,14473.22145,101.83877,16.92598,91.64571,2.47023,2555.34835,9198.76975454546,15977.1829727273,1494.02931212121,5713.78852121212,1098.09517575758,353.764475757576,1032.10617575758,145.245087878788,807.317563636364,150.878427272727,376.784927272727,59.0855151515152,349.464190909091,48.9807,58.76439,5.47525,4.19885,344.56956,72614.80334,1.75069,66371.27358,38331.9345,61.14127865,16667.15885,346.65241,35.71146,697.26171,902.51915,15090.93778,42.5683,1593.63792,2869.38689,207325.02149,15.60697,230.93022,39.70271,128.68525,29.84978,205.32298,,,906.52538,10867.61301
15,7-14-2022,04-07-2023,3.17020765983112,3.21960382991556,3.269,2018.91443708811,2018.90427737162,2018.8940954275,1215.71341,0.682630000000001,197.20438,162.454201,9681.64246,135.79183,14.1875,93.42249,2.42792,1750.90454,7270.04836969697,13846.3518272727,1672.26432727273,6137.67119393939,1207.04020606061,314.025384848485,990.116381818182,128.624590909091,551.022796969697,106.930136363636,258.03926969697,36.8092757575758,192.558254545455,30.8582424242424,69.64692,7.92522,4.71481,379.11696,21815.91449,1.36517,56440.02866,40751.70272,47.32414337,22703.05437,361.98238,35.82135,3029.03254,1667.77096,22576.01305,115.89334,6657.88314,3201.54343,184876.65779,13.4283,204.89805,34.69044,109.3359,31.77037,175.29354,,,1228.72528,9216.15294
16,7-15-2022,04-07-2023,3.269,3.39366742411718,3.51833484823436,2018.8940954275,2018.86829911342,2018.84236121584,48.79265,0.33595,14.6246,18.044551,1169.76225,15.21391,3.10308,6.73775,0.66756,365.69421,567.412451515152,1066.90796969697,172.856460606061,603.016009090909,128.920557575758,52.6541242424243,139.396793939394,18.9749151515152,79.2181909090909,19.4067212121212,35.7844727272727,6.2967303030303,30.4616515151515,3.73189696969697,9.35636,2.74681,1.74679,27.83034,4203.01676,0.15562,5963.9074,4078.1398,14.05846861,6498.31023,65.77755,5.26568,42.4514,68.76522,3094.08288,2.91379,51.40459,185.65666,9007.93541,3.55703,16.73074,11.83688,7.90551,11.21061,22.89369,,,145.22981,1532.75314
17,7-15-2022,04-07-2023,3.51833484823436,3.62359720915482,3.72885957007528,2018.84236121584,2018.82035043095,2018.79823870847,15.15032,0.38262,14.58288,49.362439,1650.30804,11.59539,1.70428,2.60488,1.32732,92.79169,1082.07788484848,2233.6338030303,239.156139393939,800.012742424243,234.212842424242,53.3134909090909,164.354966666667,27.915503030303,110.348842424242,22.0391212121212,61.8560151515152,6.82884848484849,53.2063515151515,9.55911818181818,1.54935,3.68316,2.48231,22.74137,4498.61083,0.18851,8704.29744,4815.33858,16.35377921,9263.52345,131.96071,7.55081,28.27423,188.99328,74896.45847,5.43187,29.86481,1134.78312,3297.79926,4.55535,11.05775,12.55292,10.52769,21.36728,12.51464,,,128.24073,572.47624
18,7-15-2022,04-07-2023,3.72885957007528,3.83580824671314,3.942756923351,2018.79823870847,2018.77566937747,2018.75299584891,8.84765,0.56262,10.81168,38.794854,2027.61638,8.90157,1.29053,6.42765,1.36742,99.00131,1327.06883939394,2285.41599393939,277.686021212121,969.032421212121,221.327948484849,55.4408484848485,186.480203030303,28.9198484848485,155.628506060606,29.1522272727273,71.0628484848485,9.66681212121212,47.1140212121212,9.92138484848485,3.93627,2.3762,1.6233,118.21807,3297.51026,0.26084,6703.71818,5601.34887,10.78560645,8401.25267,113.27693,39.76046,20.97679,119.66856,4727.28413,4.71103,60.9009,108.44736,6358.71237,4.10233,5.14048,12.43358,8.71001,12.14963,19.53664,,,88.2199,1064.6153
19,7-15-2022,04-07-2023,3.942756923351,4.03340752454928,4.12405812574756,2018.75299584891,2018.7336959855,2018.71432126239,156.24922,0.42262,34.97898,40.120661,3385.98144,30.24353,2.86883,11.04224,0.75703,518.95289,1522.92433939394,2680.03773030303,312.725663636364,1158.23539090909,209.854018181818,85.4747939393939,238.623236363636,33.390596969697,167.291448484848,36.3557727272727,77.7085363636364,10.9084212121212,71.889496969697,10.8316060606061,8.06685,3.09153,2.03078,59.14145,4099.5792,0.37399,12728.50435,7367.16951,15.01418462,8401.25267,92.08595,8.36658,723.24056,487.47113,8264.59124,30.23836,1655.87977,508.92367,20830.24842,4.78465,37.39889,12.82143,18.91823,14.12105,56.39822,,,233.74769,1764.15324
20,7-15-2022,04-07-2023,4.12405812574756,4.23467186269876,4.34528559964996,2018.71432126239,2018.69057842145,2018.66672411904,31.80929,0.28261,6.86816,16.438499,1116.18463,15.41301,1.16786,6.08091,0.50417,215.16978,529.251609090909,1033.64223030303,127.761742424242,408.244454545455,101.002093939394,42.6504636363636,100.2796,13.4095121212121,69.3128212121212,10.9756575757576,27.3495606060606,4.43431818181818,23.9631666666667,6.37153333333333,6.16969,2.33752,1.20044,20.0293,1888.55392,0.4979,5733.11498,6581.85679,4.55619752,4565.63433,67.01398,3.59424,54.9916,85.9014,2145.98507,4.12413,110.109,163.26467,8803.56226,3.59618,7.07314,10.3153,7.58328,10.05368,10.717,,,129.38961,983.20582
