sample_name,depth_top,depth_avg,depth_bottom,time_top,time_avg,time_bottom,Li_7_LR_ppt,Be_9_LR_ppt,Rb_85_LR_ppt,Sr_88_LR_ppt,Y_89_LR_ppq,Mo_95_LR_ppt,Ag_107_LR_ppt,Cd_111_LR_ppt,Cs_133_LR_ppt,Ba_137_LR_ppt,La_139_LR_ppq,Ce_140_LR_ppq,Pr_141_LR_ppq,Nd_146_LR_ppq,Sm_147_LR_ppq,Eu_153_LR_ppq,Gd_157_LR_ppq,Tb_159_LR_ppq,Dy_163_LR_ppq,Ho_165_LR_ppq,Er_166_LR_ppq,Tm_169_LR_ppq,Yb_172_LR_ppq,Lu_175_LR_ppq,W_182_LR_ppt,Re_185_LR_ppt,Tl_205_LR_ppt,Pb_208_LR_ppt,Th_232_LR_ppq,U_238_LR_ppt,Al_27_MR_ppt,P_31_MR_ppt,S_32_MR_ppb,Sc_45_MR_ppq,Ti_47_MR_ppt,V_51_MR_ppt,Cr_52_MR_ppt,Mn_55_MR_ppt,Fe_56_MR_ppt,Co_59_MR_ppt,Ni_60_MR_ppt,Cu_63_MR_ppt,Zn_66_MR_ppt,Ga_69_MR_ppt,K_39_HR_ppb,As_75_HR_ppt,Ca_44_HR_ppb,Mg_24_HR_ppb,Na_23_HR_ppb,,,Zr_90_LR_ppt,Bi_209_LR_ppt,Date_Analyzed
11,2.43614403040829,2.54280061798297,2.64945720555764,2021.57010314185,2021.53912457124,2021.50814600064,2.3091,0.0371,10.2105,18.2338,10074.6212,2.2411,0.7961,2.6005,0.8731,35.0209,7430.818,18303.4671,3102.0264,10935.1185,2546.5941,610.5515,2342.0162,366.3186,2127.3577,367.3898,941.6071,117.7159,732.1703,98.4313,5.6074,2.8839,2.1965,35.8289,1749.6574,2.7059,3488.1045,7436.178,18.0259,12608.6943,59.0753,2.639,9.5066,88.7954,2407.0885,2.0538,5.2046,84.4876,469.9417,0.7075,5.0119,5.176,2.5349,7.4388,3.3768,,,100.7374,2432.7048,04-18-2023
12,2.64945720555764,2.76042807682659,2.87139894809554,2021.50814600064,2021.47591433967,2021.4436826787,5.8844,0.2779,10.2694,39.6565,6729.1953,2.2906,0.9863,1.7198,1.3788,52.8784,4723.7803,10871.9178,1734.3096,6578.4633,1420.2684,380.3372,1715.7223,261.4026,1317.5606,245.9347,668.9249,84.1289,579.6311,74.8322,4.0642,1.6283,1.4456,27.2892,4825.4313,5.1962,4835.4137,5037.7443,28.0332,18367.911,102.0276,5.0409,7.7049,169.2252,2745.4333,4.8694,9.2239,53.4995,434.7672,1.1325,3.9078,8.3876,4.6298,6.5661,3.0884,,,66.006,1630.9293,04-18-2023
13,2.87139894809554,2.99135518754591,3.11131142699627,2021.4436826787,2021.40884120366,2021.37399972863,5.4814,0.2408,9.9105,26.7145,2478.7204,3.021,0.76,1.1755,1.0386,48.7167,2246.1534,4891.6864,730.0883,2657.4789,637.3902,177.5557,705.2731,100.3739,490.2105,109.5833,315.6702,32.3322,191.2683,31.3217,3.5424,1.5618,0.9983,25.3702,3749.3335,1.312,3485.0928,9148.006,22.5553,15736.5447,134.8366,4.9246,9.3605,77.1472,2064.0761,2.277,16.4304,64.1436,1416.2048,0.9507,4.7611,7.5145,2.9682,6.3048,7.084,,,129.8118,2472.8397,04-18-2023
14,3.11131142699627,3.21462985308477,3.31794827917327,2021.37399972863,2021.34399073218,2021.31398173574,2.9605,0.4446,8.431,16.1967,3443.8497,4.0164,0.7182,2.1654,0.9372,20.4681,1845.0899,4711.7345,890.8775,3038.2785,740.4245,207.9503,720.8281,123.7941,672.1674,112.6641,316.4364,47.4557,269.8842,43.9023,3.5911,1.3289,1.6099,22.4397,2903.1548,2.6823,2319.3595,3745.6754,23.9412,12410.1006,47.0971,2.1582,5.4937,67.7658,1106.0469,1.279,10.2774,62.2091,560.5845,0.4496,5.5939,4.0847,2.4509,6.9608,4.8254,,,145.4499,1375.9196,04-18-2023
15,3.31794827917327,3.42061479785862,3.52328131654398,2021.31398173574,2021.2841620868,2021.25434243787,7.2207,0.3705,11.8422,33.0097,4040.4553,2.6565,1.3533,1.331,1.5495,65.5331,3975.5322,8709.1767,1142.3312,4521.7197,1005.9328,292.1451,1092.8505,169.2979,915.2243,161.9495,415.5985,55.4071,279.5721,46.5233,3.189,2.8567,1.1802,18.539,3920.9099,1.1558,5563.3741,7871.0377,17.7444,20850.332,139.5687,7.8231,11.1515,213.294,3714.9029,6.0411,26.0893,32.7166,344.5638,1.4223,3.8431,7.5145,4.3922,10.6336,4.3288,,,137.3853,1879.1049,04-18-2023
16,3.52328131654398,3.62105135641389,3.71882139628381,2021.25434243787,2021.22594497877,2021.19754751968,7.7843,0.3335,13.5419,55.7195,4252.7911,3.0928,0.7254,1.2992,1.6325,69.5457,7322.1275,13360.1519,1831.175,6532.9816,1384.6164,273.6924,1278.0062,167.1092,1006.2544,166.3181,452.731,62.5818,382.4139,53.8646,2.2536,2.6352,1.0083,22.7813,6034.9092,1.6372,4580.499,8250.8753,20.0115,23332.753,123.532,8.541,9.812,343.2869,3712.9183,8.4232,15.3769,24.8046,306.5314,1.3339,3.2941,7.3586,8.2663,7.0184,4.9333,,,42.251,1479.09,04-18-2023
17,3.71882139628381,3.80514506586054,3.89146873543727,2021.19754751968,2021.17247467651,2021.14740183334,11.5332,0.5558,17.7036,159.8315,8307.4482,2.838,0.8509,1.727,2.1007,112.9759,13372.4848,30875.6543,3348.5815,12672.2866,2609.8566,607.5549,2738.2697,323.548,1687.8179,310.6345,826.9202,113.0943,727.3324,88.9853,3.5439,2.6881,1.1826,36.6339,7348.6123,1.3039,8935.914,5982.8053,20.8456,33609.976,183.5807,14.3236,33.3802,413.2188,6056.682,7.4768,39.8981,57.1552,350.125,2.5548,5.0242,9.9154,21.4945,11.9889,7.1107,,,80.1755,3064.222,04-18-2023
18,3.89146873543727,3.97923377912352,4.06699882280978,2021.14740183334,2021.12191034084,2021.09641884834,12.891,0.8522,18.49,293.4856,10981.1746,3.6127,11.9475,2.8727,2.3835,123.5912,16303.6806,34108.1857,4153.2557,15952.9154,3287.9971,785.945,3321.3727,420.0003,2201.8162,412.8352,1016.77,114.8963,882.2421,127.0154,2.9466,2.7492,1.5518,80.9804,11380.3963,1.3209,9848.7859,7288.4461,31.052,48603.7988,187.5039,20.6798,31.4398,397.4789,6258.7962,7.3094,33.6867,43.9386,437.7633,2.658,4.6434,16.0892,34.3597,11.9733,40.9676,,,36.5934,7486.3477,04-18-2023
19,4.06699882280978,4.16230706886834,4.2576153149269,2021.09641884834,2021.06873642106,2021.04105399377,3.9391,0.1482,5.554,52.5977,1801.0728,1.7877,0.8055,0.801,0.8986,33.6323,2596.0549,5934.2238,684.4568,2694.1818,676.9838,154.6627,573.7993,73.6923,465.3944,75.194,198.0037,20.0283,181.5925,25.8177,2.246,2.186,0.7623,13.4283,8199.1912,0.506,2597.9598,5272.7717,7.1573,32468.0623,63.3593,3.8154,21.6382,90.5473,1533.0939,1.8885,17.6964,18.1737,164.3286,0.6633,2.5133,3.6169,6.0577,6.2642,8.2891,,,30.7791,932.3929,04-18-2023
20,4.2576153149269,4.34264655494137,4.42767779495584,2021.04105399377,2021.01635653877,2020.99165908377,29.1164,1.1856,44.958,80.4254,16329.551,3.4037,0.6686,0.6137,6.537,215.3092,22674.072,48814.4499,6191.3596,23179.7478,4945.6564,1109.8569,5037.8608,649.4902,3613.7799,578.4839,1639.6499,224.7058,1309.6469,194.1747,4.533,2.8762,1.4227,42.1974,11643.8041,2.4124,23541.2015,5607.8299,4.2124,67718.4406,585.6473,35.2446,46.9576,288.1537,17046.6213,9.522,55.2004,55.6363,268.6936,6.3846,7.635,19.4255,5.399,13.6635,7.8561,,,93.5092,2627.5294,04-18-2023
