Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
690,67.26,67.36,67.31,1983.59,1983.51,1983.55,3.52,7.75,53.76,120.37,106.93,0.74,12.79,1.05,0.21,1.61,32.69,39.27,8.5,7.9,1.15,84.42,1.41,3.56,0.44,6.24,29.41,3.31,13.67,8.01,220.84,6.69,4.14,1.71,9.36,2.84,13.76,0.76,0.26,68.78
691,67.36,67.45,67.4,1983.51,1983.43,1983.47,2.31,20.68,137.2,248.96,214.66,8.34,33.96,9.28,5.26,33.55,107.236,81.726,18.682,18.682,5.43,355.3,12.21,27.56,3.02,33.06,34.78,27.45,51.46,36.59,883.36,29.35,11.62,7.32,50.1,20.62,29.14,1.25,0.39,100.88
692,67.45,67.54,67.49,1983.43,1983.35,1983.39,0.73,23.38,146.92,213.34,176.61,9.25,27.41,6.29,7.32,51.38,153.279,92.467,21.241,21.241,9.7,626.17,23,51.56,5.61,59.88,40.15,51.58,89.25,65.17,1545.88,52.01,19.1,12.92,45.62,17.34,34.19,1.16,0.65,89.57
693,67.54,67.6,67.57,1983.35,1983.3,1983.33,1.88,13.43,63.33,119.4,103.5675,8.64,15.04,1.43,3.77,28.1,199.323,103.208,23.801,23.801,4.46,299.72,13.93,33.8,3.7,18.58,31.15,60.54,37.55,30.16,719.91,23.2,10.37,14.46,20.67,10.69,33.11,1.25,0.92,102.23
694,67.6,67.68,67.64,1983.3,1983.23,1983.26,1.04,18.45,40.07,62.5,52.4825,8.74,0.02,0.08,0.85,8.5,45.19,34.91,7.91,8.83,1.5,52.61,1.34,3.48,0.36,5.87,13.3,5.76,9.25,6.12,191.3,4.53,4.51,5.42,6.71,3.34,41.24,1.94,0.3,97.95
695,67.68,67.76,67.72,1983.23,1983.16,1983.2,0.57,14.06,27.83,44.2,37.2425,11.33,3.26,2.78,0.61,4.6,29.02,18.22,4.6,4.3,0.64,22.38,0.8,1.83,0.18,2.09,9.2,2.48,5.73,3.32,69.4,2.07,2.21,3.87,5.27,0.91,49.69,2.75,0.13,68.12
696,67.76,67.84,67.8,1983.16,1983.1,1983.13,0.43,10.82,39,62.52,52.77,5.53,7.38,0.17,0.63,3.18,29.87,30.07,5.24,6.05,1.22,32.89,1.24,3.28,0.33,3.66,15.2,5.61,7,3.53,84.53,2.59,2.41,5.45,5.73,1.28,7.78,0.55,0.27,39.6
697,67.84,67.92,67.88,1983.1,1983.02,1983.06,0.39,7.55,41.53,46.22,35.8375,5.49,3.72,0.39,0.67,5.22,23.78,28.89,4.1,5.55,1.12,25.59,1.06,2.63,0.27,2.6,9.64,3.45,5.64,2.69,70.85,2.18,1.94,3.18,4.6,0.94,8.6,0.48,0.17,27.63
698,67.92,68.02,67.97,1983.02,1982.94,1982.98,0.62,4.79,14.76,47.62,43.93,2.13,0.25,0.05,0.58,5.3,40.03,23.24,5.64,7.27,1.42,37.12,1.7,4.2,0.46,9.45,13.63,5.35,6.46,3.36,86.58,6.44,2.41,3.04,6.21,1.65,7.56,0.72,0.28,43.12
699,68.02,68.1,68.06,1982.94,1982.89,1982.92,1.19,6.78,28.99,67.38,60.1325,2.44,0.5,0.2,0.98,7.98,32.79,4.364,7.04,8.68,0.97,34.88,1.56,3.52,0.41,3.58,15.24,4.28,7.29,4.03,102.31,2.7,2.89,2.65,5.58,1.25,10.38,0.24,0.36,15.04
700,68.1,68.19,68.14,1982.89,1982.82,1982.86,3.07,7.18,38.18,67.32,57.775,1.64,7.12,0.23,0.33,2.95,10.64,24.918,4.81,5.71,0.33,20.94,0.4,0.83,0.09,1.13,12.6,1.29,3.4,3.46,43.06,0.93,1.57,2.98,3.39,0.59,9,0.4,0.25,26.78
701,68.19,68.26,68.23,1982.82,1982.76,1982.79,4.98,6.21,41.89,35.55,25.0775,1.35,9.36,0.38,0.32,4.35,13.8,22.38,4.57,5.17,0.31,14.41,1.15,2.86,0.31,1,9.17,2.51,3.82,1.8,42.06,1.14,1.74,1.75,4.2,0.49,5.75,0.49,0.17,24.52
702,68.26,68.34,68.3,1982.76,1982.7,1982.73,4.8,4.18,54.09,50.53,37.0075,0.64,10.36,0.66,0.14,1.31,5.98,17.046,2.27,3.67,0.4,29.2,0.32,0.6,0.07,2.63,10.89,0.92,5.56,2.4,52,2,1.73,1.19,3.26,0.79,4.46,0.31,0.21,20.64
703,68.34,68.42,68.38,1982.7,1982.65,1982.68,5.1,6.68,36.81,50.6,41.3975,1.23,0.07,0.35,0.15,1.37,5.67,15.252,3.85,4.71,0.21,7.25,0.23,0.46,0.05,0.57,10.33,0.83,2.64,1.01,28.68,0.35,1.58,1.09,2.27,0.28,4.93,0.33,0.18,15.97
704,68.42,68.49,68.45,1982.65,1982.59,1982.62,7.47,5.65,37.19,69.37,60.0725,0.96,0.12,0.97,0.21,2.36,16.69,15.586,7,7.58,0.42,22.23,0.49,1.05,0.13,1.9,15.19,2.05,6.22,10.28,119.1,1.95,2.81,0.7,4.33,0.51,5.14,0.31,0.25,26.27
705,68.49,68.59,68.54,1982.59,1982.52,1982.56,6.18,10.01,91.3,109.38,86.555,0.4,9.56,1.9,0.36,3.41,33.85,21.257,8.09,6.96,0.9,32.82,1.23,2.86,0.31,2.31,33.52,1.7,6.61,12.65,84.26,1.77,2.52,9.95,2.89,6.45,9.33,0.69,0.23,26.92
706,68.59,68.66,68.63,1982.52,1982.47,1982.49,3.84,26.11,95.78,127.66,103.715,6.59,0.18,2.6,0.29,2.4,9.8,32.38,4.85,4.77,0.51,14.65,0.51,1.13,0.13,3.29,24.84,1.34,3.97,38.02,50.41,0.87,1.99,9.39,3.82,4.5,17.89,1.79,0.21,124.83
707,68.66,68.72,68.69,1982.47,1982.42,1982.44,3.11,4.98,33.84,58.46,50,0.41,0.07,0.58,0.06,1.58,4.58,7.44,3.83,3.86,0.43,19.47,0.18,0.48,0.07,1.23,12.47,0.65,3.11,1.48,32.08,0.82,1.88,1.31,4.17,0.89,26.49,2.3,0.1,243.17
708,68.72,68.77,68.75,1982.42,1982.38,1982.4,3.72,13.82,108.4,138.16,111.06,1.75,12.9,1.75,1.37,10.71,98.35,51.18,13.13,10.09,1.88,172.74,3.65,9.02,1.03,14.6,33.07,11.6,37.39,26.19,702.03,21.29,15.19,4.68,17.86,4.57,20.1,1.52,0.33,112.65
709,68.77,68.84,68.81,1982.38,1982.33,1982.36,2.08,9.64,86.14,148.09,126.555,2.66,21.4,2.93,0.83,4.29,46.44,97.65,18.68,17.91,1.27,103.33,3.33,8.63,0.99,8.67,34.71,4.89,27,15.24,353.28,13.15,8.33,3.18,14.3,4.43,24.55,1.74,0.44,100.58
710,68.84,68.92,68.88,1982.33,1982.27,1982.3,3.71,6.47,51.43,96.37,83.5125,0.25,0.15,0.21,0.39,2.93,25.28,26.76,7.44,8.68,0.62,33.83,1.48,3.91,0.36,2.47,19.21,2.62,7.27,3.71,77.87,2.39,2,1.07,4.91,1.14,23.48,1.72,0.36,95.01
711,68.92,68.99,68.96,1982.27,1982.22,1982.25,3.61,8.39,50.41,140,127.3975,1.77,10.47,0.37,1.78,14,101.93,30.818,19.73,20.57,2.14,125.92,4.55,11.18,1.18,11.66,34.4,12.2,23.52,14.27,355.47,10.54,6.11,2.67,14.15,3.64,11.07,1.04,1.07,52.49
712,68.99,69.06,69.02,1982.22,1982.17,1982.19,6.67,15.53,57.79,197.27,182.8225,5.41,21.31,0.99,2.28,13.52,107.41,112.48,27.26,26.2,2.59,110.23,4.79,12.26,1.31,11.82,43.81,11.56,27.84,15.07,327.5,10.05,5.64,7.1,14.87,3.91,22.26,2.08,1.17,108.23
713,69.06,69.13,69.1,1982.17,1982.11,1982.14,2.38,7.57,51.09,72.16,59.3875,2.37,0.3,0.13,0.83,6.78,38.92,40.22,10.44,9.68,1.53,44.76,3.1,8.06,0.88,6.02,13.7,5.13,7.9,5.75,143.04,4.64,3.16,2.1,6.17,1.41,23.28,2.38,0.29,101.47
714,69.13,69.21,69.17,1982.11,1982.05,1982.08,2.05,9.53,24.67,78.85,72.6825,3.92,0.06,0.08,1.07,7,46.52,27.49,8.6,9.15,3.2,75.48,2.05,5.22,0.54,7.29,21.88,6.04,9.46,6.01,154.32,5.51,3.35,5.12,8.93,3.73,6.09,0.47,0.29,24.45
715,69.21,69.28,69.25,1982.05,1982,1982.03,1.7,18.08,9.62,84.37,81.965,9.71,0.06,0.21,1.6,5.42,50.75,25.24,5.99,6.02,1.86,59.76,1.57,3.86,0.4,5.89,19.85,15.24,7.97,5.11,109.4,3.73,2.36,16.15,6.66,3.75,12.05,0.52,0.21,43.51
716,69.28,69.36,69.32,1982,1981.94,1981.97,3.58,5.4,36.55,119.98,110.8425,1.87,4.01,0.3,0.46,3.67,22.91,33.5,6.31,6.96,0.78,33.59,0.76,1.9,0.2,3.52,23.94,4.93,6.35,2.9,83.86,2.13,2.16,1.4,5.17,0.84,29.71,0.56,0.29,35.2
717,69.36,69.42,69.39,1981.94,1981.89,1981.92,10.25,4.67,19.4,54.3,49.45,1.51,2.01,0.52,0.12,0.54,3.02,13.34,2.64,3.3,0.29,5.35,0.1,0.18,0.02,0.85,10.86,0.47,2.03,0.69,17,0.26,1.29,1.94,2.74,0.42,6.34,0.43,0.03,27.12
718,69.42,69.49,69.45,1981.89,1981.84,1981.87,14.71,14.71,35.13,62.11,53.3275,8.59,0.76,1.77,0.14,1.36,9.44,26.84,2.45,3.98,0.53,16.21,0.77,2.13,0.28,6.59,11.93,1.95,4.4,4.4,62.85,1.95,1.72,1.27,3.42,0.77,2.15,0.38,0.05,25.77
719,69.49,69.57,69.53,1981.84,1981.77,1981.81,17.94,3.07,25.45,47.97,41.6075,0.37,2.84,0.12,0.09,0.32,1.35,9.18,2.18,3.52,0.11,5.72,0.06,0.14,0.02,0.62,9.91,0.36,2.15,4.56,12.99,1.68,1.08,0.89,1.79,0.14,2.88,0.21,0.07,18.09
720,69.57,69.64,69.61,1981.77,1981.72,1981.74,17.21,7.1,25.48,95.8,89.43,3.64,0.18,0.73,0.02,5.54,5.21,15.11,2.15,3.14,0.13,5.9,0.14,0.27,0.05,0.8,19.22,0.48,2.79,2.6,15.57,0.27,1.41,1.34,2.56,0.59,13.29,0.38,0.05,34.51
721,69.64,69.71,69.68,1981.72,1981.66,1981.69,11.1,9.05,84.82,143.72,122.515,0.1,5.33,0.27,0.14,1.01,10.69,25.76,4.13,4.86,0.36,13.34,0.48,1.03,0.14,1.47,22.12,0.97,4.47,1.66,46.77,1,1.81,0.41,3.04,0.54,15.38,0.53,0.07,34.6
722,69.71,69.78,69.75,1981.66,1981.61,1981.63,5.27,11.98,125.61,149.97,118.5675,0.12,13.19,0.13,0.18,1.29,11.2,35.22,4.69,3.58,0.53,13.74,0.88,1.94,0.24,1.23,24.84,1.12,5.22,1.5,48.73,1.92,1.67,0.71,3.75,0.7,20.33,0.52,0.15,35.28
723,69.78,69.84,69.81,1981.61,1981.56,1981.58,4.11,10.78,109.73,106.48,79.0475,0.21,6.03,0.07,0.14,1.8,9.18,25.01,3.7,3.89,0.22,12.66,0.53,1.45,0.18,1.7,14.85,1.28,4.18,1.5,49.29,1.2,1.71,1.39,2.86,0.76,15.41,0.68,0.15,40.63
724,69.84,69.92,69.88,1981.56,1981.49,1981.53,4.01,6.9,85.75,143.85,122.4125,0.41,20.41,1.28,0.31,1.67,23.99,51.42,5.45,6.49,0.82,32.8,2.19,6,1.03,3.86,30.08,1.99,8.02,5.9,184.52,3.84,3.55,0.98,4.04,3.24,19.42,1.49,0.33,93.64
725,69.92,69.99,69.96,1981.49,1981.44,1981.47,4.53,10.16,96.87,178.75,154.5325,1.81,33.62,3.36,1.7,14.84,148.72,73.116,30.97,32.46,2.01,338.16,4.12,9.98,1.18,13.97,40.75,21.49,30.42,17.41,1330.06,15.65,12.03,5.85,17.31,5.33,27.77,1.69,0.95,119.07
726,69.99,70.06,70.02,1981.44,1981.39,1981.41,4.24,13.86,35.81,205.01,196.0575,1.59,16.51,0.59,2,12.35,127.91,62.222,19.19,18.09,2.12,173.17,4.35,9.67,1.07,13.34,45.91,13.44,26.68,17.3,403.55,11.38,6.18,4.06,21.04,3.88,52.29,2.14,1.03,148.56
727,70.06,70.13,70.09,1981.39,1981.33,1981.36,2.61,26.96,143.01,361.36,325.6075,4.69,41.73,4.01,7.62,33.49,366.75,247.078,54.2,53.26,5.65,415.76,20.94,48.55,5.7,33.94,95.71,35.47,84.25,41.84,1253.23,39.74,19.57,9.85,60.26,12.04,72.41,3.63,1.8,236.28
728,70.13,70.2,70.17,1981.33,1981.27,1981.3,3.07,10.76,40.54,245.36,235.225,6.84,18.91,0.8,3,17.05,124.67,149.773,37.78,33.55,2.65,184.76,5.61,13.13,1.4,13.21,57.49,15.21,28.24,17.89,380.36,11.79,6.81,7.88,17.39,3.89,25.78,2,2.56,134.19
729,70.2,70.27,70.23,1981.27,1981.22,1981.25,1.4,11.76,24.84,105.73,99.52,6.36,0.06,0.15,1.8,11.46,75.94,56.39,13.88,11.02,1.62,144.29,3.42,8.61,0.93,7.8,20.22,8.56,15.23,9.21,255.12,7.05,5.33,6.83,9.87,2.64,12.8,0.89,0.86,58.01
730,70.27,70.36,70.31,1981.22,1981.15,1981.18,2.51,8.68,14.34,65.58,61.995,6.71,0.07,0.68,2.35,26.87,147.63,34.376,8.79,9.49,5.73,160.62,9.53,24.37,2.57,27.27,14.13,21.25,21.27,17.82,436.83,17.16,7.09,10.1,10.31,7.41,14.64,0.63,0.35,36.84
731,70.36,70.41,70.38,1981.15,1981.11,1981.13,0,0,8.47,29.48,27.3625,3.72,0.04,0.66,0.67,6.12,25.22,18.23,3.31,5.55,0.75,22.78,0.7,1.6,0.18,2.93,8.5,4.53,4.3,2.7,88.65,2.11,2.46,3.35,3.37,0.64,15.97,1.07,0.11,26.75
732,70.41,70.49,70.45,1981.11,1981.05,1981.08,0.54,6.38,15.08,51.81,48.04,3.92,0.09,0.22,0.6,3.48,17.28,12.924,3.27,2.58,0.53,24.12,0.43,1.15,0.13,2.47,7.93,2.28,4.26,2.14,61.78,1.5,1.87,3.95,2.87,0.79,6.91,0.4,0.66,18.57
733,70.49,70.55,70.52,1981.05,1981,1981.02,0.51,8,17.9,52.95,48.475,4.84,0.06,0.49,0.61,2.41,17.41,11.111,4.59,5.33,0.52,31.67,0.51,1.43,0.16,2.65,7.35,3.01,5.83,3.24,98.2,3.77,3.02,3.49,3.81,0.73,7,0.29,0.16,67.48
734,70.55,70.64,70.6,1981,1980.94,1980.97,1.94,8.97,24.26,49.99,43.925,5.58,0.25,1.19,0.5,4.14,5.23,14.99,2.36,2.58,0.11,8.48,0.27,0.22,0.03,1.36,7.42,1.61,1.95,0.77,15.98,0.38,1.59,3.98,1.68,0.66,4.04,0.36,0.09,24.31
735,70.64,70.7,70.67,1980.94,1980.91,1980.93,0.83,8.25,12.57,36.21,33.0675,4.46,0.03,0.16,0.42,3.29,2.68,9.6,1.31,1.95,0.12,4.22,0.05,0.13,0.02,0.73,6.04,0.21,1.43,0.53,7.29,0.05,1.24,3.88,1.13,0.18,3.5,0.19,0.03,4.45
736,70.7,70.78,70.74,1980.91,1980.86,1980.88,0.6,7.14,30.43,39.43,31.8225,2.52,0.09,0.29,0.62,4.72,11.71,12.22,3.13,3.24,0.76,17.03,0.58,1.39,0.37,1.35,7.85,2.92,4.02,6.73,90.75,1.86,2.21,2.84,2.38,0.97,3.52,0.13,0.18,12.05
737,70.78,70.85,70.82,1980.86,1980.82,1980.84,2.2,4.09,4.03,34.75,33.7425,2.46,0.07,0.14,0.15,1.38,4.97,7.8,2.26,2.61,0.35,9.12,0.49,0.66,0.12,1.51,7.21,1.24,2.46,1.94,30.63,0.78,2.57,3.19,2,1.85,6.5,0.17,0.04,21.89
738,70.85,70.93,70.89,1980.82,1980.78,1980.8,2.11,9.34,23.94,103.74,97.755,2.03,0.32,0.14,0.48,3.94,29.25,18.597,6.43,7.27,0.67,53.24,0.85,2.01,0.33,19.46,24.89,7.27,9.56,8.8,181.68,2.62,3.25,6.44,6.06,3.67,7.42,0.34,0.47,24.56
739,70.93,71.01,70.97,1980.78,1980.73,1980.75,2.56,7.18,21.08,83.87,78.6,4.02,0.08,0.08,0.46,1.85,12.12,22.68,4.05,5.17,0.29,16.21,0.4,0.97,0.11,1.5,16.99,1.34,4.22,2.18,46.4,1.28,1.92,3.3,3.13,0.45,5.93,0.55,0.2,22.14
740,71.01,71.08,71.04,1980.73,1980.69,1980.71,2.75,2.26,14.01,80.27,76.7675,0.55,0.13,0.08,0.3,2.52,12.26,15.528,4.45,4.8,0.47,18.56,0.39,1,0.12,3.04,13.63,2.85,4.09,2.31,42.54,1.29,1.82,1.05,2.84,0.53,4.86,0.57,0.19,22.5
741,71.08,71.15,71.11,1980.69,1980.65,1980.67,6.24,1.13,3.92,43.07,42.09,0.36,0.18,0.13,0.11,0.59,1.87,15.27,1.72,2.36,0.39,6.05,0.25,0.42,0.33,1.29,8.68,0.75,2.05,2.44,28.04,0.67,1.23,0.82,1.59,0.51,1.7,0.37,0.13,19.92
742,71.15,71.24,71.19,1980.65,1980.59,1980.62,6.76,4.02,39.77,108.15,98.2075,0.37,0.08,0.08,0.2,2.08,18.37,30.13,5.78,5.46,1.8,25.66,0.64,1.24,0.38,8.47,40.59,3.65,8.65,6.07,89.89,3.59,2.42,0.72,4,6.69,3.29,0.39,0.14,19.78
743,71.24,71.3,71.27,1980.59,1980.56,1980.57,5.5,5.5,44.72,110.28,99.1,0.89,0.15,0.28,0.19,1.49,10.97,27.02,5.49,5.05,0.84,19.31,0.48,1.1,0.13,4,20.77,1.68,5.9,2.42,68.72,2.05,2.69,0.62,3.21,0.59,6.63,0.64,0.16,20.7
744,71.3,71.37,71.34,1980.56,1980.52,1980.54,7.58,14.42,86.14,108.58,87.045,0.76,3.89,0.49,0.82,4.09,38.01,43.59,6.08,6.05,1.25,73.6,2.03,5.16,0.6,5.89,19.13,4.16,11.18,8.08,171.42,5.8,4.92,1.63,6.46,1.71,10.56,0.51,0.18,26.06
745,71.37,71.43,71.4,1980.52,1980.48,1980.5,4.43,9.85,70.45,108.23,90.6175,0.91,0.52,0.13,0.44,4.2,26.8,31.32,5.85,6.21,1.29,53.78,1.79,4.2,0.48,9.21,22.77,8.65,13.71,13.86,151.32,5.75,3.9,0.95,5.78,1.44,13.55,0.4,0.1,33.69
746,71.43,71.48,71.45,1980.48,1980.45,1980.47,2.76,33.72,118.63,156.98,127.3225,0.63,4.17,0.25,0.41,3.36,24.39,57.448,6.32,6.64,1.65,51.86,1.58,3.67,0.39,8.69,29.04,2.85,8.1,5.82,101.61,4.26,2.61,2.13,5.06,1.5,13.84,0.72,0.26,41.34
747,71.48,71.54,71.51,1980.45,1980.42,1980.43,4.19,6.76,59.47,58.42,43.5525,0.38,0.09,0.44,0.2,3.35,15.07,53.3,3.75,3.83,0.6,17.09,0.41,1.07,0.11,2.53,14.01,1.88,4.95,2.9,49.4,1.71,1.89,0.58,2.75,0.66,39.01,0.98,0.11,50.37
748,71.54,71.59,71.56,1980.42,1980.39,1980.4,3.75,9.63,69.22,91.5,74.195,0.76,5.04,0.78,0.52,4.16,26.82,29.97,5.75,5.62,1.19,32.76,0.99,2.25,0.25,5.6,17.23,3.04,7.55,3.49,100.44,3.63,2.46,0.77,3.49,1.2,88.27,1.13,0.2,59.99
749,71.59,71.65,71.62,1980.39,1980.35,1980.37,2.96,12.16,88.86,117.22,95.005,1.47,14.49,0.78,2.08,15.81,109.32,83.91,21.18,19.47,2.78,120.42,7.15,17.12,1.78,13.38,26.46,12.49,22.93,14.42,372.69,12.47,6.16,2.72,12.76,3.87,50.18,1.29,1.17,69.61
750,71.65,71.69,71.67,1980.35,1980.33,1980.34,2.45,6.44,42.39,188.85,178.2525,1.65,36.57,2.66,2.07,12.16,98.22,48.288,63.86,61.7,2.06,288.41,10.85,30.27,3.39,93.25,47.92,10.35,85.51,45.97,999.99,54.38,12.88,4.67,33.36,18.12,24.34,1.31,0.47,75.43
751,71.69,71.78,71.74,1980.33,1980.27,1980.3,3.52,13.19,64.12,151.68,135.65,4.85,12.92,1.9,3.47,31.68,219.12,75.38,15.797,15.422,2.57,452.56,17.04,41.02,4.47,98.76,38.82,28.77,109.24,66.55,1553.03,72.57,21.16,10.73,63.11,19.18,41.15,1.08,0.83,75.25
752,71.78,71.86,71.82,1980.27,1980.23,1980.25,2.57,12.59,29.33,78.33,70.9975,6.44,0.87,0.48,2.67,17.45,127.56,49.82,18.27,20.41,2.94,201.05,7.01,18.23,1.98,20.82,18.35,16.56,34.11,26.23,679.74,26.92,11.52,8.2,16.19,4.15,64.31,1.17,0.75,81.35
753,71.86,71.92,71.89,1980.23,1980.19,1980.21,1.67,31.43,31.76,89.98,82.04,16.95,2.95,0.64,3.9,16.26,102.42,66.844,10.42,11.37,2.37,98.75,4.33,11.01,1.17,11.57,17.09,10.93,15.97,12.31,324.3,10.21,5.66,15.28,9.61,2.98,26.32,0.98,0.49,87.42
754,71.92,71.99,71.96,1980.19,1980.15,1980.17,0.97,15.53,15.67,68.59,64.6725,11.75,0,0.43,1.51,14.98,78.3,51.348,15.76,13.21,4.47,117.81,3.45,8.78,1.02,22.78,13.04,8.73,24.43,16.34,483.23,17.33,9.62,12.68,10.77,3.1,18.75,1,0.7,85.61
755,71.99,72.05,72.02,1980.15,1980.12,1980.13,0.5,10.23,5.52,31.47,30.09,6.25,0.02,0.3,0.61,7.91,30.11,36.788,9.28,8.37,0.62,29.64,1.02,1.83,0.2,3.53,6.13,4.11,4.05,4.8,90.02,1.5,2.48,5.78,3.64,1.17,15.05,0.93,0.74,85.44
756,72.05,72.12,72.08,1980.12,1980.08,1980.1,0.33,16.45,4.81,21.87,20.6675,10.89,0,3.23,0.78,6.68,27.46,19.559,4.16,5.11,0.9,38.44,1.02,2.36,0.25,4.01,4.3,3.02,4.65,2.93,68.1,2.2,2.15,7.43,3.23,1.18,14.83,0.71,0.18,87.75
757,72.12,72.17,72.14,1980.08,1980.05,1980.06,0.3,42.7,17.5,53.07,48.695,22.25,0,0.41,2.13,2.45,30.12,25.767,4.96,4.96,1.08,94.87,0.91,2.03,0.23,8.11,12.59,2.47,6.45,3.23,138.34,4.24,2.77,22.44,5.22,2.21,9.06,0.44,0.21,48.42
758,72.17,72.23,72.2,1980.05,1980.01,1980.03,0.34,8.51,24.92,47.49,41.26,4.15,0.02,0.29,0.54,2.21,28.78,55.358,6.46,6.52,2.09,154.41,1.78,4.49,0.5,19.98,17.39,4.44,16.61,10.58,237.07,11.02,5.4,5.68,5.28,3.67,5.29,0.27,0.58,15.23
759,72.23,72.3,72.26,1980.01,1979.97,1979.99,0.38,14.43,18.95,46.89,42.1525,8.3,0.02,0.29,0.99,3.6,30.31,29.384,5.21,5.08,1.17,39.8,1.62,3.87,0.42,4.65,13.2,3.48,5.53,4.25,93.87,2.88,2.61,7.69,4.48,2.8,9.24,0.36,0.32,12.39
760,72.3,72.38,72.34,1979.97,1979.91,1979.94,0.36,18.04,17.37,44.13,39.7875,10.14,0,0.46,1.73,7.18,42.12,21.423,5.96,6.58,0.72,28.22,1.31,2.98,0.33,3.86,12.2,5.76,5.23,8.57,91.9,2.76,2.42,12.62,3.13,1.59,5.19,1.13,0.36,55.93
761,72.38,72.44,72.41,1979.91,1979.87,1979.89,0.25,5.18,23.21,30.34,24.5375,2.88,1.48,0.38,0.34,4.3,29.14,18.607,6.23,6.49,6.35,39.43,1.48,3.29,0.42,4.25,8.66,4.15,4.82,4.62,151.45,2.86,2.32,5.89,3.06,2.16,17.77,0.7,0.64,33.12
NaN,72.44,72.46,72.45,1979.87,1979.86,1979.87,0.11,8.77,35.55,52.37,43.4825,4.46,5.67,1.37,0.13,2.52,19.71,23.309,4.61,5.55,0.6,41.01,1.46,3.31,0.38,6.58,9.29,2.53,5.1,11.58,93.34,4.51,3.36,5.34,3.1,2.43,11.16,0.56,0.68,32.6
764,72.46,72.53,72.49,1979.86,1979.82,1979.84,1.14,0,0,41.62,41.62,4.89,5.97,0.55,0.19,3.76,33.79,34.85,8.14,7.97,2.01,54.19,1.64,3.69,0.42,11.9,16.56,5.33,11.47,13.55,157.77,7.44,4.3,8.57,4.16,2.55,5.51,0.54,0.48,32.25
765,72.53,72.55,72.54,1979.82,1979.8,1979.81,0,10.83,3.92,35.82,34.84,6.98,0.02,0.43,0.21,3.65,29.4,42.1,7.46,8.49,3.71,45.9,1.54,3.55,0.43,5.46,13.81,4.96,6.59,8.6,138.06,3.85,2.76,6.19,3.6,2.22,4.35,0.65,0.69,29.67
766,72.55,72.58,72.56,1979.8,1979.78,1979.79,0.23,6.77,0.08,51.2,51.18,4.44,0.03,1.05,0.32,3.96,16.8,30.94,5.42,6.59,0.62,35.29,1.15,2.64,0.31,5.19,11.14,2.97,5.13,10.16,80.64,3.51,2.77,4.73,2.69,1.91,6.09,0.7,0.56,30.71
767,72.58,72.61,72.6,1979.78,1979.76,1979.77,0.3,7.21,35.38,59.11,50.265,3.51,2.5,0.95,0.44,4.93,31.41,48.27,10.31,9.37,3.29,80.16,1.97,4.39,0.51,19.94,20.92,4.9,17.72,18.53,223.64,12.11,6.18,4.52,5.19,3.51,11.96,0.71,0.6,36.04
768,72.61,72.66,72.64,1979.76,1979.73,1979.74,0.74,10.5,0.16,66.48,66.44,5.88,0.01,0.74,0.92,6.15,47.88,65.6,8.69,10.49,1.06,52.37,1.61,3.81,0.45,6.67,18.96,5.77,8.36,12.57,124.68,4.84,3.19,6.5,4.13,2.27,12.85,0.81,0.75,47.92
769,72.66,72.69,72.68,1979.73,1979.71,1979.72,0.97,5.55,40.55,89.15,79.0125,2.65,11.14,3.12,0.77,7.57,26.03,38.57,6.23,7.63,0.64,29.58,0.84,1.98,0.24,3.79,12.99,3.42,5.16,8.74,67.94,2.5,2.18,4.13,2.27,1.4,8.92,0.93,0.45,57.33
770,72.69,72.77,72.73,1979.71,1979.66,1979.68,1.68,7.34,38.61,24.57,14.9175,3.36,0.03,0.84,0.06,4.53,4.19,11.54,3.76,4.77,0.23,6.79,0.08,0.14,0.04,0.9,7.01,1.06,1.95,4.9,11.2,0.16,1.17,1.76,0.42,0.53,1.49,0.72,0.15,12.94
771,72.77,72.84,72.81,1979.66,1979.61,1979.63,3.56,7.39,31.82,39.45,31.495,3.29,3.36,0.6,0.35,2.36,7.78,6.94,3.38,3.52,0.43,16.35,0.21,0.51,0.06,1.84,9.48,1.07,3.57,2.81,40.11,1.3,1.53,1.57,2.2,0.69,4.12,0.21,0.15,9.56
