Sample number,Top Depth,Bot Depth,Mid Depth,Top Time (11-8-17 Timescale),Bot Time (11-8-17 timescale),Avg Time (11-8-17 timescale),IC MSA (ppb),IC Cl- (ppb),IC NO3-2 (ppb),IC SO4-2 (ppb),nssSO4-2 (ppb),IC Na+ (ppb),IC NH4+ (ppb),IC K+ (ppb),IC Mg2+ (ppb),IC Ca2+ (ppb),Sr88(LR) (ppt),Pb208(LR) (ppt),As75(LR) (ppt),As75(HR) (ppt),Cs133(LR) (ppt),Ba137(LR) (ppt),La139(LR) (ppt),Ce140(LR) (ppt),Pr141(LR) (ppt),Li7(LR) (ppt),S32(MR) (ppb),Ca44(MR) (ppb),V51(MR) (ppt),Cr52(MR) (ppt),Mn55(MR) (ppt),Fe56(MR) (ppb),Co59(MR) (ppt),Na23(MR) (ppb),Si28(MR) (ppt),K39(HR) (ppb),Combo clean Cu interp to DIC2 time (ppt),Combo clean Cd interp to DIC2 time (ppt),Combo clean Bi interp to DIC2 time (ppt),Combo clean Zn interp to DIC2 time (ppt)
17,4.15,4.26,4.21,2012.7,2012.67,2012.68,1.08,16.41,0.57,33.71,33.5675,11.85,0.05,8.1,0.7,13.04,25.91,5.74,2.6,2.99,0.26,25.75,3.59,7.26,0.78,14.77,11.46,4.63,1.91,7.1,54.39,0.98,1.49,11.42,9.56,8.76,             NaN,1.67,0.49,             NaN
18,4.26,4.35,4.31,2012.67,2012.65,2012.66,1.97,49.77,11.73,19.35,16.4175,30.36,0.02,12.56,1.83,19.46,28.57,9.09,1.62,1.03,0.28,31.14,0.34,0.69,0.09,8.29,8.01,4.79,6.06,6.88,76.04,1.66,4.35,18.37,6.57,7.02,             NaN,2.51,0.49,             NaN
19,4.35,4.48,4.42,2012.65,2012.62,2012.64,1.2,6.89,0.05,48.9,48.8875,2.56,0.01,0.43,0.3,5.79,27.88,4.37,2.07,1.94,0.64,33.86,0.44,1.08,0.16,4.72,11.2,4.66,4.17,6.67,36.71,0.98,1.34,3.74,12.8,1.39,             NaN,3.69,0.36,             NaN
20,4.48,4.6,4.54,2012.62,2012.6,2012.61,2.35,68.92,50.82,76.11,63.405,3.51,8,1.97,1.03,41.5,26.81,6.71,2.21,2.4,0.54,30.64,0.54,1.19,0.17,4.55,10.61,4.08,3.38,5.92,40.87,0.96,1.46,2.83,12.54,1.43,             NaN,2.97,0.37,             NaN
21,4.6,4.73,4.66,2012.6,2012.57,2012.59,1.84,13.81,32.93,66.26,58.0275,1.52,0.04,0.37,0.41,13.82,25.74,9.06,2.36,2.86,0.43,27.42,0.63,1.3,0.19,4.38,10.02,3.5,2.59,5.17,45.03,0.93,1.57,1.92,12.29,1.47,             NaN,2.11,0.39,             NaN
NaN,4.73,4.88,4.8,2012.57,2012.54,2012.56,1.19,14.92,16.61,44.93,40.7775,5.46,0.02,1.05,0.98,19.87,23.17,8.86,3.16,3.38,0.56,28.69,0.52,1.16,0.17,5.9,7.77,3.7,3.63,10.51,60.75,1.09,1.7,2.19,11.26,1.4,             NaN,2.4,0.47,             NaN
24,4.88,5.02,4.95,2012.54,2012.51,2012.53,0.53,16.03,0.29,23.61,23.5375,9.4,0,1.73,1.54,25.91,20.61,8.67,3.96,3.9,0.69,29.96,0.4,1.03,0.16,7.42,5.53,3.9,4.67,15.84,76.47,1.24,1.84,2.46,10.23,1.33,             NaN,2.58,0.56,             NaN
25,5.02,5.12,5.07,2012.51,2012.49,2012.5,2.44,30.53,82.89,91.32,70.5975,16.78,10.06,11.34,1.49,21.84,22.5,10.45,3.92,4.16,0.39,30.75,0.47,1.1,0.15,5.03,15.56,4.92,1.65,5.8,45.99,0.8,1.63,3.73,11,1.73,             NaN,2.27,0.51,             NaN
26,5.12,5.21,5.17,2012.49,2012.47,2012.48,4.27,12.82,53.7,82.81,69.385,6.63,5.64,3.41,0.11,10.82,24.39,12.22,3.87,4.42,0.39,41.85,0.63,1.47,0.19,6.51,14.98,3.94,2.03,5.13,46.99,1,1.42,2.29,11.92,3.01,             NaN,1.91,0.47,             NaN
27,5.21,5.32,5.27,2012.47,2012.45,2012.46,2.51,18.88,106.77,50.2,23.5075,4.43,0.25,2.06,0.18,6.63,16.47,13.63,1.52,1.68,0.38,31.96,0.57,0.84,0.13,3.39,9.35,3.05,1.63,5.77,40.19,0.9,1.59,1.16,10.47,1.71,             NaN,1.93,0.44,             NaN
