Top Depth,Bot Depth,Mid Depth,MSA,Chloride,Nitrate,Sulfate,Sodium,Ammonium,Potassium,Magnesium,Calcium,Sr88(LR),Cd111(LR),Cs133(LR),Ba137(LR),La139(LR),Ce140(LR),Pr141(LR),Pb208(LR),Bi209(LR),U238(LR),As75(LR),Li7(LR),Al27(MR),S32(MR),Ca44(MR),Ti47(MR),V51(MR),Cr52(MR),Mn55(MR),Fe56(MR),Co59(MR),Cu63(MR),Zn66(MR),As75(HR),K39(HR),Na23(MR),Mg24(MR),Cu No Volcs
12.19158612,12.29229644,12.24194128,0.78,15.96,66.77,117.05,6.68,25.86,7.76,1.68,12.9,63.985,4.45,1.718,67.629,1.682,3.69,0.453,28.932,1.224,873.051,12.293,9.724,14.189,37.486,16.933,439.364,16.563,9.916,206.809,4.52,4.198,68.421,395.601,11.601,4.158,3.871,8.247,68.421
12.29229644,12.39098639,12.34164142,1.59,8.82,56.77,68.38,7.65,22.24,6.13,2.5,17.52,106.785,3.17,4.59,194.435,8.354,19.411,2.36,35.239,0.851,1037.213,20.574,22.128,24.483,21.595,18.085,1290.313,37.284,43.221,447.52,14.676,11.058,43.597,301.438,25.665,8.514,5.29,16.416,43.597
12.39098639,12.4830058,12.4369961,2.19,10.87,50.24,65.29,3.57,7.18,2.35,2.39,13.82,80.45,2.592,12.723,223.908,2.384,5.177,0.629,28.085,1.022,1810.239,19.203,16.47,34.598,20.589,12.873,457.797,39.848,28.933,228.438,9.165,7.4,39.6,339.85,17.227,18.002,3.136,13.511,39.6
12.4830058,12.56795068,12.52547824,2.16,8.63,34.13,58.29,4.81,14.73,2.31,2.51,11.67,81.387,2.716,1.596,65.185,1.757,3.828,0.482,22.066,1.095,647.507,9.08,9.414,11.643,16.485,11.646,288.288,13.154,9.078,192.559,4.777,4.626,29.596,573.26,9.288,2.192,5.029,10.873,29.596
12.56795068,12.65626429,12.61210748,1.04,4.38,17.9,23.74,3.66,9.44,1.64,2.05,8,49.965,1.955,1.093,54.779,1.579,3.454,0.415,16.463,0.531,450.582,6.872,5.785,10.081,7.691,7.493,199.345,10.487,6.911,150.836,3.914,3.387,27.067,403.927,6.205,1.333,2.589,8.239,27.067
12.65626429,12.74120714,12.69873571,1.16,26.66,57.54,107.91,9.96,17.2,4.68,7.87,51.74,68.732,2.288,6.973,144.031,1.916,4.232,0.509,22.866,0.756,1173.98,13.02,11.388,22.568,14.617,11.016,352.323,25.253,18.855,201.995,6.8,5.67,35.176,386.51,11.58,9.821,4.637,11.822,39.018
12.74120714,12.81802533,12.77961624,0.79,14.03,59.93,100.29,7.77,14.76,3.44,8.45,62.31,72.725,2.365,1.473,69.357,1.538,3.473,0.423,20.449,0.771,636.184,7.941,8.121,11.319,13.042,11.237,291.321,11.991,9.86,196.413,4.866,4.558,32.018,517.836,7.476,2.069,7.358,11.45,37.404
12.81802533,12.8992976,12.85866146,0.24,11.34,34.75,97.99,9.82,19.85,3.23,5.76,26.97,53.203,2.189,1.268,59.007,1.581,3.554,0.402,22.242,0.556,391.49,7.19,7.051,8.861,10.48,8.339,258.412,13.191,8.089,157.576,3.749,4.326,31.138,410.138,6.757,2.345,7.458,7.35,34.757
12.8992976,12.98534379,12.94232069,0.89,19.24,28.49,63.38,12.29,12.16,4.45,4.61,22.21,57.014,1.985,1.222,64.153,1.449,3.287,0.39,17.647,0.49,537.722,6.836,6.306,10.538,8.645,9.16,246.85,10.657,8.777,175.551,4.435,3.939,30.753,433.17,5.934,1.64,6.138,10.133,35.846
12.98534379,13.06345068,13.02439723,0.52,14.3,23.28,33.05,9.2,10.64,1.44,2.39,9.7,64.064,2.014,1.35,73.528,1.319,3.119,0.365,18.831,0.448,624.862,6.801,6.827,10.995,9.598,10.828,294.355,10.828,10.643,200.267,4.955,4.491,34.439,462.413,5.663,1.946,9.688,12.028,34.439
13.06345068,13.15251056,13.10798062,0.48,13.45,29.21,43.71,9.46,12.07,2.27,2.08,9.16,56.441,2.423,1.443,63.236,1.583,3.653,0.39,28.022,0.58,332.399,7.509,8.317,7.641,13.268,9.185,317.479,15.896,9.267,164.317,3.584,5.266,35.208,416.348,7.309,3.357,12.327,6.462,35.208
13.15251056,13.25076798,13.20163927,0.28,9.905,27.445,37.17,7.38,9.59,1.695,2.425,14.09,98.185,2.329,3.592,96.3,10.01,6.586,0.775,29.748,0.556,710.46,10.899,13.936,13.509,12.29,15.168,344.529,19.082,13.59,232.377,6.118,6.159,39.917,467.647,23.269,7.167,11.005,15.812,39.917
13.25076798,13.34066541,13.2957167,0.48,6.36,25.68,30.63,5.3,7.11,1.12,2.77,19.02,139.929,2.235,5.741,129.363,18.437,9.519,1.159,31.473,0.531,1088.522,14.289,19.555,19.376,11.311,21.151,371.578,22.269,17.913,300.437,8.652,7.053,44.625,518.946,13.559,5.138,10.171,15.445,44.625
13.34066541,13.44063309,13.39064925,0.21,14.25,42.27,21.62,12.02,9.25,5.55,1.84,10.29,36.762,2.028,0.703,36.5,0.653,1.178,0.183,16.21,0.267,476.332,4.412,4.506,5.693,5.17,7.135,92.824,3.333,7.148,96.246,1.172,2.766,43.37,401.272,3.788,2.266,6.019,6.872,43.37
13.44063309,13.5436494,13.49214124,0.27,54.36,34.65,73.32,6.57,14.3,1.82,1.24,5.55,27.467,2.349,0.733,65.164,0.68,1.112,0.125,30.954,0.33,472.702,5.442,3.688,6.437,15.935,4.572,101.496,3.051,24.89,60.528,1.267,1.912,51.538,283.598,6.392,1.232,9.894,6.047,51.538
13.5436494,13.64014545,13.59189742,0.32,10.63,30.94,32,7.44,5.63,1.27,1.34,4.43,11.35,1.144,0.238,16.913,0.521,1.144,0.144,14.882,0.159,230.441,2.423,1.332,2.797,7.061,1.288,54.424,0.831,0.243,31.15,0.343,0.816,17.12,32.58,2.392,1.011,6.004,3.87,17.12
13.64014545,13.73049777,13.68532161,0.24,18.01,135.3,64.36,5.09,13.09,1.58,1.34,8.06,45.046,2.294,3.897,79.54,2.519,6.602,0.677,56.295,0.573,1785.02,12.57,12.632,12.288,17.831,6.985,495.368,11.021,11.419,146.831,4.392,4.174,44.34,265.364,12.33,2.574,5.793,8.932,44.34
13.73049777,13.82544975,13.77797376,0.29,12.38,26.36,28.74,7.5,9.56,2.92,0.89,5.29,14.948,1.176,1.935,37.964,1.855,4.224,0.467,11.431,0.317,1151.801,5.68,4.712,5.716,6.518,2.705,167.487,4.113,2.766,59.874,1.764,1.76,21.932,92.301,4.83,0.701,2.871,4.79,21.932
13.82544975,13.91269797,13.86907386,0.73,6.87,14.98,19.01,4.67,7.54,2.28,0.83,4.67,28.015,2.092,2.921,59.497,1.673,3.37,0.442,13.002,0.306,3678.438,8.359,12.493,9.683,5.995,12.089,357.046,6.588,4.926,103.037,3.897,3.93,22.455,230.655,8.871,1.766,4.917,5.758,22.455
13.91269797,13.99800587,13.95535192,1.81,8.63,28.96,42.71,5.67,8.49,2.68,1.14,6.02,35.127,3.362,1.186,41.35,0.664,1.738,0.206,20.728,0.27,1072.985,6.009,7.412,7.514,11.45,5.603,146.406,5.347,5.661,84.681,1.71,2.412,41.103,1056.037,5.663,1.725,28.624,6.922,41.103
13.99800587,14.08772172,14.0428638,0.29,8.95,15.44,21.32,6.44,7.68,2.37,1.18,4.78,39.779,1.881,1.974,72.615,1.785,3.155,0.507,48.221,0.645,731.595,7.406,7.293,7.796,6.485,46.879,194.339,6.951,16.213,102.846,3.087,3.064,46.601,626.474,7.142,2.064,6.786,16.764,46.601
