Depth (m),Year
2.35,2019
7.61,2018
10.4,2017
13.91,2016
17.38,2015
20.04,2014
23.46,2013
26.67,2012
28.65,2011
30.8,2010
32.96,2009
34.1,2008
36.16,2007
38.03,2006
40,2005
41.85,2004
43.8,2003
45.9,2002
47.47,2001
49.17,2000
50.45,1999
